Datum,Niederschlag_mm,Station,Zaehldaten,geometry,lon,lat,baseline_count,normalized_count
2024-01-02,1.28,"Kanalpromenade, Abschnitt 6",71.0,POINT (7.650465 51.887739),7.650465,51.887739,697.2668711656441,0.10182614854669195
2024-01-02,1.28,Grevener Straße,340.0,POINT (7.612012 51.979612),7.612012,51.979612,1371.9252873563219,0.24782690656221854
2024-01-03,0.3299999999999999,Wolbecker Straße,5387.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,0.5971182345390833
2024-01-03,0.3299999999999999,Promenade (nördlich Salzstraße),8733.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.5912450413282749
2024-01-03,0.3299999999999999,Hafenstraße,4748.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,0.696941521654519
2024-01-03,0.3299999999999999,Gartenstraße,1667.0,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242,2713.2514124293784,0.6143920140844631
2024-01-03,0.3299999999999999,Hammer Straße,9374.0,POINT (7.62631 51.95462),7.62631,51.95462,14263.790960451977,0.657188543073192
2024-01-03,0.3299999999999999,Hüfferstraße,2824.0,POINT (7.61094 51.9617),7.61094,51.9617,5570.037249283668,0.5069984047886178
2024-01-03,0.3299999999999999,Warendorfer Straße,4540.0,POINT (7.63768 51.96185),7.63768,51.96185,5864.186440677966,0.7741909378098021
2024-01-03,0.3299999999999999,Neutor,5439.0,POINT (7.615511 51.966988),7.615511,51.966988,11173.782485875707,0.4867644422893683
2024-01-03,0.3299999999999999,"Kanalpromenade, Abschnitt 5",484.0,POINT (7.64893 51.91717),7.64893,51.91717,1240.6734693877552,0.3901107035349464
2024-01-03,0.3299999999999999,Promenade (in Höhe Hals),5069.0,POINT (7.6239339 51.9568468),7.6239339,51.9568468,9557.831428571428,0.530350429161905
2024-01-03,0.3299999999999999,"Kanalpromenade, Abschnitt 1",373.0,POINT (7.66207 51.9798853),7.66207,51.9798853,1345.877245508982,0.277142660108604
2024-01-03,0.3299999999999999,Lütkenbecker Weg,812.0,POINT (7.651947 51.949545),7.651947,51.949545,3110.277456647399,0.26106995640037317
2024-01-03,0.3299999999999999,Goldstraße,840.0,POINT (7.636264 51.967438),7.636264,51.967438,1420.4891640866872,0.5913455880109325
2024-01-03,0.3299999999999999,Bohlweg,2363.0,POINT (7.638286 51.966436),7.638286,51.966436,4350.190340909091,0.5431946224923544
2024-01-03,0.3299999999999999,Kinderhauser Straße,393.0,POINT (7.613773 51.978652),7.613773,51.978652,1036.6950146627566,0.37908931213279284
2024-01-03,0.3299999999999999,Gasselstiege,1415.0,POINT (7.606586 51.979387),7.606586,51.979387,2806.578651685393,0.5041725800737032
2024-01-03,0.3299999999999999,Schmeddingstraße,810.0,POINT (7.59211 51.956734),7.59211,51.956734,2596.75,0.31192837200346585
2024-01-03,0.3299999999999999,Weißenburgstraße,798.0,POINT (7.619567 51.942891),7.619567,51.942891,1264.9108280254777,0.6308745109294983
2024-01-03,0.3299999999999999,"Kanalpromenade, Abschnitt 6",141.0,POINT (7.650465 51.887739),7.650465,51.887739,697.2668711656441,0.20221812598709246
2024-01-03,0.3299999999999999,Grevener Straße,410.0,POINT (7.612012 51.979612),7.612012,51.979612,1371.9252873563219,0.2988500932073812
2024-01-04,0.74,Wolbecker Straße,6219.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,0.689340690662439
2024-01-04,0.74,Promenade (nördlich Salzstraße),10509.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.711484500093764
2024-01-04,0.74,Hafenstraße,5057.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,0.7422984993696088
2024-01-04,0.74,Gartenstraße,1985.0,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242,2713.2514124293784,0.7315945698606234
2024-01-04,0.74,Hammer Straße,10408.0,POINT (7.62631 51.95462),7.62631,51.95462,14263.790960451977,0.7296797905169385
