Datum,Niederschlag_mm,Station,Zaehldaten,lon,lat
2024-01-03,0.32999999999999996,Lütkenbecker Weg,812.0,7.651947,51.949545
2024-01-03,0.32999999999999996,Goldstraße,840.0,7.636264,51.967438
2024-01-03,0.32999999999999996,Goldstraße,840.0,7.637027139079827,51.968020449618386
2024-01-03,0.32999999999999996,Bohlweg,2363.0,7.638286,51.966436
2024-01-03,0.32999999999999996,Bohlweg,2363.0,7.639231349153692,51.96662392485169
2024-01-03,0.32999999999999996,Kinderhauser Straße,393.0,7.613773,51.978652
2024-01-03,0.32999999999999996,Gasselstiege,1415.0,7.606586,51.979387
2024-01-03,0.32999999999999996,Gasselstiege,1415.0,7.5890948527366735,51.993285797986395
2024-01-03,0.32999999999999996,Schmeddingstraße,810.0,7.59211,51.956734
2024-01-03,0.32999999999999996,Schmeddingstraße,810.0,7.591119585875852,51.95759316378006
2024-01-03,0.32999999999999996,Weißenburgstraße,798.0,7.619567,51.942891
2024-01-03,0.32999999999999996,Weißenburgstraße,798.0,7.619684341846338,51.942709589703966
2024-01-03,0.32999999999999996,"Kanalpromenade, Abschnitt 6",141.0,7.650465,51.887739
2024-01-03,0.32999999999999996,Grevener Straße,410.0,7.612012,51.979612
2024-01-04,0.74,Wolbecker Straße,6219.0,7.636356,51.95921
2024-01-04,0.74,Promenade (nördlich Salzstraße),10509.0,7.634015197473532,51.960595599885565
2024-01-04,0.74,Hafenstraße,5057.0,7.62974,51.95426
2024-01-04,0.74,Gartenstraße,1985.0,7.635686416805148,51.97154102512242
2024-01-04,0.74,Hammer Straße,10408.0,7.62631,51.95462
2024-01-04,0.74,Hüfferstraße,3207.0,7.61094,51.9617
2024-01-04,0.74,Hüfferstraße,3207.0,7.610067639341043,51.96158048107171
2024-01-04,0.74,Warendorfer Straße,5019.0,7.63768,51.96185
2024-01-04,0.74,Neutor,6211.0,7.615511,51.966988
2024-01-04,0.74,Neutor,6211.0,7.6153886638541985,51.96707241051129
2024-01-04,0.74,"Kanalpromenade, Abschnitt 5",630.0,7.64893,51.91717
2024-01-04,0.74,Promenade (in Höhe Hals),5984.0,7.6239339,51.9568468
2024-01-04,0.74,"Kanalpromenade, Abschnitt 1",498.0,7.66207,51.9798853
2024-01-04,0.74,Lütkenbecker Weg,1284.0,7.651947,51.949545
2024-01-04,0.74,Goldstraße,991.0,7.636264,51.967438
2024-01-04,0.74,Goldstraße,991.0,7.637027139079827,51.968020449618386
2024-01-04,0.74,Bohlweg,2756.0,7.638286,51.966436
2024-01-04,0.74,Bohlweg,2756.0,7.639231349153692,51.96662392485169
2024-01-04,0.74,Kinderhauser Straße,607.0,7.613773,51.978652
2024-01-04,0.74,Gasselstiege,1784.0,7.606586,51.979387
2024-01-04,0.74,Gasselstiege,1784.0,7.5890948527366735,51.993285797986395
2024-01-04,0.74,Schmeddingstraße,1403.0,7.59211,51.956734
2024-01-04,0.74,Schmeddingstraße,1403.0,7.591119585875852,51.95759316378006
2024-01-04,0.74,Weißenburgstraße,883.0,7.619567,51.942891
2024-01-04,0.74,Weißenburgstraße,883.0,7.619684341846338,51.942709589703966
2024-01-04,0.74,"Kanalpromenade, Abschnitt 6",139.0,7.650465,51.887739
2024-01-04,0.74,Coesfelder Kreuz,1181.0,7.5995429,51.9649268
2024-01-04,0.74,Grevener Straße,700.0,7.612012,51.979612
2024-01-05,0.27,Wolbecker Straße,6358.0,7.636356,51.95921
2024-01-05,0.27,Promenade (nördlich Salzstraße),10161.0,7.634015197473532,51.960595599885565
2024-01-05,0.27,Hafenstraße,5193.0,7.62974,51.95426
2024-01-05,0.27,Gartenstraße,1910.0,7.635686416805148,51.97154102512242
2024-01-05,0.27,Hammer Straße,10650.0,7.62631,51.95462
2024-01-05,0.27,Hüfferstraße,3144.0,7.61094,51.9617
2024-01-05,0.27,Hüfferstraße,3144.0,7.610067639341043,51.96158048107171
2024-01-05,0.27,Warendorfer Straße,4796.0,7.63768,51.96185
2024-01-05,0.27,Neutor,6349.0,7.615511,51.966988
2024-01-05,0.27,Neutor,6349.0,7.6153886638541985,51.96707241051129
2024-01-05,0.27,"Kanalpromenade, Abschnitt 5",613.0,7.64893,51.91717
2024-01-05,0.27,Promenade (in Höhe Hals),5745.0,7.6239339,51.9568468
2024-01-05,0.27,"Kanalpromenade, Abschnitt 1",435.0,7.66207,51.9798853
2024-01-05,0.27,Lütkenbecker Weg,1603.0,7.651947,51.949545
